Project,Client,Title,Duration
SOS1819-02,,#1 Crear al menos una issue en el repositorio del principal del proyecto,00:09:47
SOS1819-02,,#10 Haber completado la ficha del trabajo a partir de la plantilla,00:01:53
SOS1819-02,,#11 Tarea 6,03:27:26
SOS1819-02,,#2 Tener correctamente configurado Toggl,00:03:56
SOS1819-02,,#2 Tener desplegado en heroku la API en la ruta,00:32:51
SOS1819-02,,#3 Tarea 6,01:42:31
SOS1819-02,,#4 Tarea #3,01:44:26
SOS1819-02,,#5 Tarea 6,00:04:52
SOS1819-02,,#6 Tarea 7,00:03:21
SOS1819-02,,#7 Instalación de POSTMAN,00:10:43
SOS1819-02,,#8 Leer todas las noticias y realizar apartados anteriores,00:06:22
SOS1819-02,,#9 Instalar POSTMAN,00:02:25
SOS1819-02,,backlog,02:40:05
SOS1819-02,,SOS1819 - Backlog,17:03:55
SOS1819-02,,tarea #7,01:30:22
SOS1819-02,,Tarea 3,00:00:34
SOS1819-02,,Tarea 6 #F03,00:30:42
SOS1819-02,,,00:12:57
,,#1 Hacer lab02,00:01:59
,,#10 Haber completado la ficha del trabajo a partir de la plantilla,00:00:11
,,#3 Tarea 4,00:01:01
,,#4 Retocar la plantilla,00:02:17
,,SOS1819 - Backlog,00:00:12
,,,00:00:04
